case_id,family,length,strategy,median_ns
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,hybrid-1,64000.0
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,hybrid-8,37437.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,hybrid-24,22354.0
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,hybrid-64,21916.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,best_fixed,22104.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,manual_rule,30979.0
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,decision_tree,30958.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,tree_plan_only,22437.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,oracle,21916.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,merge,46187.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,insertion,8521.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,hybrid-1,47125.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,hybrid-8,22166.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,hybrid-24,8167.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,hybrid-64,7812.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,best_fixed,8125.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,manual_rule,18875.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,decision_tree,19687.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,tree_plan_only,8104.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,oracle,7812.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,merge,60125.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,insertion,25187.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,hybrid-1,61812.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,hybrid-8,39229.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,hybrid-24,27916.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,hybrid-64,27479.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,best_fixed,27750.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,manual_rule,37625.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,decision_tree,37458.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,tree_plan_only,26500.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,oracle,25187.5
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,merge,127729.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,insertion,79979.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,hybrid-1,150437.5
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,hybrid-8,93729.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,hybrid-24,66562.5
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,hybrid-64,78896.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,best_fixed,64625.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,manual_rule,82729.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,decision_tree,79999.5
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,tree_plan_only,61042.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,oracle,66562.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,merge,89541.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,insertion,13604.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,hybrid-1,82041.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,hybrid-8,45833.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,hybrid-24,24312.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,hybrid-64,12958.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,best_fixed,24146.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,manual_rule,29646.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,decision_tree,29771.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,tree_plan_only,13083.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,oracle,12958.0
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,merge,100729.5
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,insertion,83688.0
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,hybrid-1,97000.0
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,hybrid-8,67333.5
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,hybrid-24,65458.5
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,hybrid-64,83437.5
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,best_fixed,70292.0
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,manual_rule,86708.5
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,decision_tree,84104.5
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,tree_plan_only,68604.5
05ed14f707525158f5ecde24b0f3a00a3b7982e853aad11f8a958e0fa6b87464,organ_pipe,39,oracle,65458.5
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,merge,88229.0
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,insertion,13062.5
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,hybrid-1,84937.5
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,hybrid-8,49479.0
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,hybrid-24,24770.5
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,hybrid-64,13229.5
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,best_fixed,24833.5
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,manual_rule,28562.5
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,decision_tree,28750.5
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,tree_plan_only,12479.0
a576d86b2d6dcfa73ae002ce9371f0da843adf64abc55441c361e00114c1f146,sorted,39,oracle,13062.5
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,merge,117646.0
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,insertion,72354.0
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,hybrid-1,131104.5
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,hybrid-8,93375.0
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,hybrid-24,64979.0
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,hybrid-64,80854.0
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,best_fixed,59687.5
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,manual_rule,74333.5
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,decision_tree,76437.5
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,tree_plan_only,61312.5
9bd03257cdab615cb925d657fff493dcdf72b140063ec9ed386a955bb7203f46,duplicates,39,oracle,64979.0
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,merge,47625.5
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,insertion,8062.5
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,hybrid-1,46645.5
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,hybrid-8,22417.0
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,hybrid-24,8208.5
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,hybrid-64,7854.5
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,best_fixed,7771.0
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,manual_rule,18020.5
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,decision_tree,18687.5
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,tree_plan_only,7708.0
7a20829f1c910da08a8107636f9774cd4868edda343bc546493ef324d8aa29da,sorted,23,oracle,7854.5
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,merge,128396.0
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,insertion,68583.5
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,hybrid-1,120729.0
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,hybrid-8,86458.5
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,hybrid-24,61667.0
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,hybrid-64,68166.5
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,best_fixed,59083.5
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,manual_rule,77187.5
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,decision_tree,86438.0
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,tree_plan_only,68271.0
79f52de89e29f99f0ccfacec20db340779af06dd138f7767d70355e302958c42,random,39,oracle,61667.0
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,merge,64333.5
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,insertion,31520.5
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,hybrid-1,63250.0
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,hybrid-8,38145.5
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,hybrid-24,33604.0
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,hybrid-64,30750.0
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,best_fixed,30875.5
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,manual_rule,42520.5
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,decision_tree,41833.0
ac0434348590d1b743e6431a31589d17423ae3cd79c31e1db91bc61c248b7da0,runs,23,tree_plan_only,30250.0
