stage,case_id,shape,seed,input_sha256,strategy,n,run_count,run_lengths,bound,check_comparisons,comparisons,conditional_applicable,conditional_bound,merge_or_sort_comparisons,tree_budget,plan,median_ns,min_ns,max_ns,median_scan_ns,median_plan_with_consumption_ns,median_merge_only_ns
calibration,calibration-9011-24-random,random,9011,8b7df64c580eb4ca18e49357ae0e8f7d1871cdcc5b357b3f323d9190cb5dc9c1,hybrid_8,24,13,"[2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 4, 2]",108,0,92,True,108,92,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",149500,144042,165167,,,
calibration,calibration-9011-24-random,random,9011,8b7df64c580eb4ca18e49357ae0e8f7d1871cdcc5b357b3f323d9190cb5dc9c1,hybrid_16,24,13,"[2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 4, 2]",156,0,123,True,156,123,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",228125,213250,236125,,,
calibration,calibration-9011-24-random,random,9011,8b7df64c580eb4ca18e49357ae0e8f7d1871cdcc5b357b3f323d9190cb5dc9c1,hybrid_24,24,13,"[2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 4, 2]",276,0,156,True,276,156,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",431875,402291,444708,,,
calibration,calibration-9011-24-random,random,9011,8b7df64c580eb4ca18e49357ae0e8f7d1871cdcc5b357b3f323d9190cb5dc9c1,hybrid_64,24,13,"[2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 4, 2]",276,0,156,True,276,156,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",436333,396125,443750,,,
calibration,calibration-9011-24-perturbed,perturbed,9011,3d2609ee0f200e6d073814db7a5057da63642d02aa4d0faceddb88749dc07f87,hybrid_1,24,3,"[18, 2, 4]",112,0,56,True,112,56,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",90333,83500,96000,,,
calibration,calibration-9011-24-perturbed,perturbed,9011,3d2609ee0f200e6d073814db7a5057da63642d02aa4d0faceddb88749dc07f87,hybrid_4,24,3,"[18, 2, 4]",96,0,56,True,96,56,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",76750,69500,77875,,,
calibration,calibration-9011-24-perturbed,perturbed,9011,3d2609ee0f200e6d073814db7a5057da63642d02aa4d0faceddb88749dc07f87,hybrid_8,24,3,"[18, 2, 4]",108,0,49,True,108,49,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",68500,61291,73250,,,
calibration,calibration-9011-24-perturbed,perturbed,9011,3d2609ee0f200e6d073814db7a5057da63642d02aa4d0faceddb88749dc07f87,hybrid_16,24,3,"[18, 2, 4]",156,0,39,True,156,39,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",65083,58917,72125,,,
calibration,calibration-9011-24-perturbed,perturbed,9011,3d2609ee0f200e6d073814db7a5057da63642d02aa4d0faceddb88749dc07f87,hybrid_24,24,3,"[18, 2, 4]",276,0,28,True,276,28,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",71458,71333,82042,,,
calibration,calibration-9011-24-perturbed,perturbed,9011,3d2609ee0f200e6d073814db7a5057da63642d02aa4d0faceddb88749dc07f87,hybrid_64,24,3,"[18, 2, 4]",276,0,28,True,276,28,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",71583,70875,82666,,,
calibration,calibration-9029-80-random_boundaries,random_boundaries,9029,00bfe4b8e05694fa7757fb22c8f2c7cabd2024b0218d7996a3036f029fa09658,hybrid_1,80,7,"[5, 20, 1, 9, 5, 1, 39]",512,0,336,True,512,336,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",1188583,1123750,1241291,,,
calibration,calibration-9029-80-random_boundaries,random_boundaries,9029,00bfe4b8e05694fa7757fb22c8f2c7cabd2024b0218d7996a3036f029fa09658,hybrid_4,80,7,"[5, 20, 1, 9, 5, 1, 39]",464,0,336,True,464,336,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",1138209,1130416,1155000,,,
calibration,calibration-9029-80-random_boundaries,random_boundaries,9029,00bfe4b8e05694fa7757fb22c8f2c7cabd2024b0218d7996a3036f029fa09658,hybrid_8,80,7,"[5, 20, 1, 9, 5, 1, 39]",480,0,322,True,480,322,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",1135167,1107166,1191916,,,
calibration,calibration-9029-80-random_boundaries,random_boundaries,9029,00bfe4b8e05694fa7757fb22c8f2c7cabd2024b0218d7996a3036f029fa09658,hybrid_16,80,7,"[5, 20, 1, 9, 5, 1, 39]",600,0,342,True,600,342,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",1203666,1146667,1225750,,,
calibration,calibration-9029-80-random_boundaries,random_boundaries,9029,00bfe4b8e05694fa7757fb22c8f2c7cabd2024b0218d7996a3036f029fa09658,hybrid_24,80,7,"[5, 20, 1, 9, 5, 1, 39]",920,0,356,True,920,356,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",1328250,1262750,1379458,,,
calibration,calibration-9029-80-random_boundaries,random_boundaries,9029,00bfe4b8e05694fa7757fb22c8f2c7cabd2024b0218d7996a3036f029fa09658,hybrid_64,80,7,"[5, 20, 1, 9, 5, 1, 39]",1640,0,393,True,1640,393,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",2012666,1890958,2075625,,,
calibration,calibration-9029-24-long_runs,long_runs,9029,e2aa28616af70d7e1b2c2a5e569eb7bb988acf02af7a3c50fb5a8dacfa75f555,hybrid_1,24,3,"[11, 7, 6]",112,0,71,True,112,71,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",145541,132916,162667,,,
calibration,calibration-9029-24-long_runs,long_runs,9029,e2aa28616af70d7e1b2c2a5e569eb7bb988acf02af7a3c50fb5a8dacfa75f555,hybrid_4,24,3,"[11, 7, 6]",96,0,71,True,96,71,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",125667,115625,128750,,,
calibration,calibration-9029-24-long_runs,long_runs,9029,e2aa28616af70d7e1b2c2a5e569eb7bb988acf02af7a3c50fb5a8dacfa75f555,hybrid_8,24,3,"[11, 7, 6]",108,0,65,True,108,65,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",121292,108916,133583,,,
calibration,calibration-9029-24-long_runs,long_runs,9029,e2aa28616af70d7e1b2c2a5e569eb7bb988acf02af7a3c50fb5a8dacfa75f555,hybrid_16,24,3,"[11, 7, 6]",156,0,73,True,156,73,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",148750,130959,151583,,,
calibration,calibration-9029-24-long_runs,long_runs,9029,e2aa28616af70d7e1b2c2a5e569eb7bb988acf02af7a3c50fb5a8dacfa75f555,hybrid_24,24,3,"[11, 7, 6]",276,0,116,True,276,116,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",315333,297333,349500,,,
calibration,calibration-9029-24-long_runs,long_runs,9029,e2aa28616af70d7e1b2c2a5e569eb7bb988acf02af7a3c50fb5a8dacfa75f555,hybrid_64,24,3,"[11, 7, 6]",276,0,116,True,276,116,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",317542,306000,327084,,,
calibration,calibration-9029-192-random_boundaries,random_boundaries,9029,30e9501552ebcf498bd90b6e8098f58240972a1be994ad4f713cae32429a44d8,hybrid_1,192,19,"[14, 5, 6, 8, 9, 15, 7, 9, 16, 6, 27, 38, 4, 7, 1, 2, 7, 4, 7]",1472,0,1120,True,1472,1120,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",7806334,7735917,7865500,,,
calibration,calibration-9029-192-random_boundaries,random_boundaries,9029,30e9501552ebcf498bd90b6e8098f58240972a1be994ad4f713cae32429a44d8,hybrid_4,192,19,"[14, 5, 6, 8, 9, 15, 7, 9, 16, 6, 27, 38, 4, 7, 1, 2, 7, 4, 7]",1344,0,1120,True,1344,1120,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",7674125,7552958,7809375,,,
calibration,calibration-9029-192-random_boundaries,random_boundaries,9029,30e9501552ebcf498bd90b6e8098f58240972a1be994ad4f713cae32429a44d8,hybrid_8,192,19,"[14, 5, 6, 8, 9, 15, 7, 9, 16, 6, 27, 38, 4, 7, 1, 2, 7, 4, 7]",1440,0,1105,True,1440,1105,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",7618042,7589000,7806209,,,
calibration,calibration-9029-192-random_boundaries,random_boundaries,9029,30e9501552ebcf498bd90b6e8098f58240972a1be994ad4f713cae32429a44d8,hybrid_16,192,19,"[14, 5, 6, 8, 9, 15, 7, 9, 16, 6, 27, 38, 4, 7, 1, 2, 7, 4, 7]",1824,0,1211,True,1824,1211,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",7967375,7951625,8166792,,,
calibration,calibration-9029-192-random_boundaries,random_boundaries,9029,30e9501552ebcf498bd90b6e8098f58240972a1be994ad4f713cae32429a44d8,hybrid_24,192,19,"[14, 5, 6, 8, 9, 15, 7, 9, 16, 6, 27, 38, 4, 7, 1, 2, 7, 4, 7]",2784,0,1495,True,2784,1495,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",9410084,9197708,9666708,,,
calibration,calibration-9029-192-random_boundaries,random_boundaries,9029,30e9501552ebcf498bd90b6e8098f58240972a1be994ad4f713cae32429a44d8,hybrid_64,192,19,"[14, 5, 6, 8, 9, 15, 7, 9, 16, 6, 27, 38, 4, 7, 1, 2, 7, 4, 7]",4896,0,2699,True,4896,2699,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",18189708,17727625,18421500,,,
calibration,calibration-9029-192-long_runs,long_runs,9029,a1e3182819af6046bfb8f8e0947a02fbf1fdd9a9d65fdc4f5d44759787a4bd57,hybrid_1,192,3,"[66, 86, 40]",1472,0,903,True,1472,903,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",6454584,6409916,6741000,,,
calibration,calibration-9029-192-long_runs,long_runs,9029,a1e3182819af6046bfb8f8e0947a02fbf1fdd9a9d65fdc4f5d44759787a4bd57,hybrid_4,192,3,"[66, 86, 40]",1344,0,903,True,1344,903,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",6296583,6029375,6374916,,,
calibration,calibration-9029-192-long_runs,long_runs,9029,a1e3182819af6046bfb8f8e0947a02fbf1fdd9a9d65fdc4f5d44759787a4bd57,hybrid_8,192,3,"[66, 86, 40]",1440,0,844,True,1440,844,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",6004917,5938458,6336875,,,
calibration,calibration-9029-192-long_runs,long_runs,9029,a1e3182819af6046bfb8f8e0947a02fbf1fdd9a9d65fdc4f5d44759787a4bd57,hybrid_16,192,3,"[66, 86, 40]",1824,0,819,True,1824,819,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",6281083,6028583,8045625,,,
