stage,case_id,shape,seed,input_sha256,strategy,mode,n,run_count,run_lengths,plan,comparisons,check_comparisons,sort_comparisons,bound,tree_budget,conditional_applicable,conditional_bound,cost_source,median_ns,min_ns,max_ns,samples_ns
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_count,counted,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[[[3, 225], [2, 2]], [[2, 2], [3, 2]]], [[[1, 2], [2, 4]], [[3, 2], [1, 1]]]]",1202,256,946,1284,1028,False,,measured and independently checked,784333,775125,816209,"[816209, 797542, 775125, 776833, 784333]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_count,plain,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[[[3, 225], [2, 2]], [[2, 2], [3, 2]]], [[[1, 2], [2, 4]], [[3, 2], [1, 1]]]]",1202,256,946,1284,1028,False,,proved symbolic instrumentation (not maintained),205250,199875,221709,"[221709, 208334, 205208, 199875, 205250]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_count,staged_reference,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[[[3, 225], [2, 2]], [[2, 2], [3, 2]]], [[[1, 2], [2, 4]], [[3, 2], [1, 1]]]]",1202,256,946,1284,1028,False,,measured and independently checked,28081000,27485125,28421459,"[28081000, 27989291, 27485125, 28137083, 28421459]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_count,scan_only,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[[[3, 225], [2, 2]], [[2, 2], [3, 2]]], [[[1, 2], [2, 4]], [[3, 2], [1, 1]]]]",1202,256,946,1284,1028,False,,measured and independently checked,21476292,20975583,21852041,"[21852041, 21240459, 20975583, 21476292, 21608958]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_count,merge_only,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[[[3, 225], [2, 2]], [[2, 2], [3, 2]]], [[[1, 2], [2, 4]], [[3, 2], [1, 1]]]]",1202,256,946,1284,1028,False,,measured and independently checked,7456709,7369667,7682041,"[7456709, 7467834, 7369667, 7682041, 7405542]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_count,staged_direct,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[[[3, 225], [2, 2]], [[2, 2], [3, 2]]], [[[1, 2], [2, 4]], [[3, 2], [1, 1]]]]",1202,256,946,1284,1028,False,,measured and independently checked,777875,754000,798375,"[754000, 785084, 777875, 798375, 766709]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_length,reference,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[3, 225], [[[2, [2, 2]], [[2, 3], [2, 1]]], [[[2, 2], 4], [3, [2, [1, 1]]]]]]",810,256,554,850,594,False,,measured and independently checked,18541375,18110500,18744291,"[18744291, 18443917, 18110500, 18541375, 18542208]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_length,counted,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[3, 225], [[[2, [2, 2]], [[2, 3], [2, 1]]], [[[2, 2], 4], [3, [2, [1, 1]]]]]]",810,256,554,850,594,False,,measured and independently checked,582375,558250,611916,"[582375, 559750, 558250, 582625, 611916]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_length,plain,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[3, 225], [[[2, [2, 2]], [[2, 3], [2, 1]]], [[[2, 2], 4], [3, [2, [1, 1]]]]]]",810,256,554,850,594,False,,proved symbolic instrumentation (not maintained),180875,176542,191416,"[176542, 180875, 178959, 181667, 191416]"
paired,test-200003-257-skewed_runs,skewed_runs,200003,de1ba858b6e4ce2e84ec16f5f10f4c34dc9372892e4fb0fbfabf741ed1939304,runs_length,staged_reference,257,16,"[3, 225, 2, 2, 2, 2, 3, 2, 1, 2, 2, 4, 3, 2, 1, 1]","[[3, 225], [[[2, [2, 2]], [[2, 3], [2, 1]]], [[[2, 2], 4], [3, [2, [1, 1]]]]]]",810,256,554,850,594,False,,measured and independently checked,18401916,18091333,18654958,"[18654958, 18401916, 18091333, 18511375, 18385125]"
