case_id,family,length,strategy,median_ns
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,hybrid-1,820416
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,hybrid-8,509208
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,hybrid-24,403958
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,hybrid-64,329709
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,best_fixed,396125
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,manual_rule,410709
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,decision_tree,490208
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,tree_plan_only,403583
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,oracle,90375
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,merge,48166
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,insertion,8167
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,hybrid-1,47833
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,hybrid-8,22875
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,hybrid-24,8375
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,hybrid-64,8292
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,best_fixed,8375
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,manual_rule,19417
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,decision_tree,19584
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,tree_plan_only,8083
1ab27f22760efce1196d575b62f97040dc58f6edbb67fdd4a01957966ed917bf,nearly_sorted,23,oracle,8167
af9b0e387e95a2c374c5cbba33db4389d41ec3a7a9a157774d99c42b73584e41,skewed,263,merge,1256333
af9b0e387e95a2c374c5cbba33db4389d41ec3a7a9a157774d99c42b73584e41,skewed,263,insertion,8486542
